name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
Maan Meri Jaan,Champagne Talk,King,1418IuVKQPTYqt7QNJ9RXN,10/12/2022,86,194653,0.698,0.354,0.505,0,0.0995,0.396,-8.242,0.0356,15,16,17,Happy
Noor e Khuda (Ramzan),Noor e Khuda (Ramzan),Rahat Fateh Ali Khan,5X5gl4tmPmkFK3op3CRRno,3/22/2023,31,243012,0.582,0.0917,0.905,3.47E-06,0.109,0.63,-0.782,0.0542,15,16,17,Neutral
O Bedardeya (From "Tu Jhoothi Main Makkaar"),O Bedardeya (From "Tu Jhoothi Main Makkaar"),Pritam,0czcoKJbJt08NqKrvSbbz7,3/4/2023,82,313051,0.582,0.794,0.418,0,0.109,0.243,-8.701,0.0288,15,16,17,Sad
Nadaan Parinde,Rockstar,A.R. Rahman,6Z394Nd4gW6Ts9hmu3NUjx,10/1/2011,64,384000,0.507,0.414,0.741,3.95E-06,0.107,0.492,-7.456,0.0535,15,16,17,Angry
Wavin' Flag - Coca-Cola? Celebration Mix,Troubadour (Champion Edition - Asian Version),K'NAAN,4nOygULhEuDO5ZBRNPFaso,2009,69,212520,0.58,0.313,0.767,0,0.0518,0.776,-4.174,0.0557,15,16,17,Fear
Dil Dhadakne Do,Zindagi Na Milegi Dobara,Joi Barua,46elU7IBKWf55D5sjHGqO7,6/6/2011,62,230318,0.778,0.0705,0.599,0,0.59,0.949,-4.758,0.032,15,16,17,Happy
Ilahi,Yeh Jawaani Hai Deewani,Pritam,5cgKosPPj5Cs9a2JQufUc1,3/30/2013,70,228982,0.593,0.166,0.967,2.54E-05,0.105,0.452,-5.767,0.0907,15,16,17,Neutral
Kuch Kuch Hota Hai,Kuch Kuch Hota Hai,Jatin-Lalit,4RixtPhUXlci9ad4qIMj23,8/13/1998,66,297866,0.547,0.602,0.554,0.000155,0.0735,0.848,-11.165,0.0374,15,16,17,Sad
Airplanes (feat. Hayley Williams of Paramore),R&B,B.o.B,617xCVhCgPZwyJo7zLqr7R,8/3/2018,52,180333,0.658,0.106,0.866,0,0.0386,0.351,-4.271,0.115,15,16,17,Angry
Raanjhanaa,Raanjhanaa (Original Motion Picture Soundtrack),A.R. Rahman,5OMUXgfXsSukZ0zxelpC3b,5/31/2013,73,254653,0.673,0.111,0.714,0,0.0858,0.78,-8.042,0.039,15,16,17,Fear
